timestamp,symbol,price,qty
2025-12-16 13:29:12,ETHUSDT,2924.87,0.8132
2025-12-16 13:29:13,ETHUSDT,2924.87,0.0024
2025-12-16 13:29:13,ETHUSDT,2924.87,0.0027
2025-12-16 13:29:13,BTCUSDT,86054.64,0.00175
2025-12-16 13:29:13,ETHUSDT,2924.87,0.0018
2025-12-16 13:29:13,ETHUSDT,2924.87,1.9147
2025-12-16 13:29:13,ETHUSDT,2924.87,0.051
2025-12-16 13:29:13,ETHUSDT,2924.87,0.0024
2025-12-16 13:29:13,ETHUSDT,2924.87,0.0027
2025-12-16 13:29:13,ETHUSDT,2924.87,0.0033
2025-12-16 13:29:13,BTCUSDT,86054.63,0.03
2025-12-16 13:29:13,ETHUSDT,2924.87,0.0024
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0027
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0024
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0027

2025-12-16 13:29:14,ETHUSDT,2924.87,0.0027
2025-12-16 13:29:14,BTCUSDT,86054.64,0.00356
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0027
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0027

2025-12-16 13:29:14,BTCUSDT,86054.63,0.00281
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0024
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0024
2025-12-16 13:29:14,ETHUSDT,2924.87,0.0024
2025-12-16 13:29:15,ETHUSDT,2924.87,0.0027
2025-12-16 13:29:15,BTCUSDT,86054.64,0.00062
2025-12-16 13:29:15,ETHUSDT,2924.87,0.0033
2025-12-16 13:29:15,BTCUSDT,86054.64,6e-05
2025-12-16 13:29:15,ETHUSDT,2924.87,0.3391
2025-12-16 13:29:15,ETHUSDT,2924.88,0.0018
2025-12-16 13:29:15,ETHUSDT,2924.88,0.0018
2025-12-16 13:29:15,ETHUSDT,2924.89,0.0018
2025-12-16 13:29:15,ETHUSDT,2924.89,0.0018
2025-12-16 13:29:15,ETHUSDT,2924.9,0.0018
2025-12-16 13:29:15,ETHUSDT,2924.9,0.0018
2025-12-16 13:29:15,ETHUSDT,2924.9,0.0018
